Answer,Question,Id_Number
"  Yes, it is a red flag. He doesn’t seem to be interested in a real partnership, is unwilling to change, get a professional opinion, or take care of himself better. This, combined with the fact he has obsessive compulsive personality disorder would indicate that he is not likely to change without some outside intervention, which he doesn’t seem to want.Don’t expect things would get better or be better as you go forward. If you can accept things the way they are and find a way to cope — then you may be able to stay. If you are not having the relationship you want now — then you may want to move on. ","For many years now my partner has insisted he needs to rest a lot. He rests for hours after coming home from work and spends all afternoon on the couch sleeping on the weekends. Yet he is not distressed by this and he doesn’t ask his doctor to fully investigate this or continue going back saying I’m still tired. And when he’s been offered referrals to suitable specialists refuses to go. Hence I’m wondering if this is a red flag in a relationship. In the past I’ve raised this issue asking him to get his fatigue fully investigated and to take up any referral offers advising of it’s impact on our relationship (limited activities together, no kids as I felt he wouldn’t cope with active kids plus being unfair on kids to be cooped up due to their father being too tired to be active with them) as well as saying it can’t be very pleasant for you to feel like this and wouldn’t it be better to feel less tired and have the energy to do things. I’ve also suggested sedentary activities but he’s not interested. He also doesn’t want to take any medication not even vitamins or trial antidepressants. It is hard on the partner as the partner starts off feeling sorry for the fatigued person and accommodates their need to rest to find several years down the track they’ve spent their life sitting on the couch rather than living life. And I’m thinking it’s just not normal to have this excessive need for rest yet not be distressed by this. I could understand more if he had health problems that couldn’t be treated but he tests as being very healthy and somehow has a high level of fitness. A bit of context – he does appear to have OCPD but many people with OCPD aren’t chronically fatigued. I’ve extensively tried to get out on my own to build my own life and am now in the process of preparing to leave. I’d like to have the opinion of psych central as we hear a lot about red flags but I’ve not read much about this one which can be used as another way to control someone. (From Australia)",1685
" Based on the information you have provided, it would seem that the voices are not automatic thoughts (in the context of cognitive behavioral therapy) or what is also known as an inner voice. They seem to be more characteristic of auditory hallucinations. There is more than one voice, they are unrecognizable, and are not something that you can control. They are also causing significant distress.In the clinical world, hearing voices that do not come from the external world would most frequently be categorized as hallucinations. Hallucinations are associated with psychotic disorders such as schizophrenia and some medical disorders including seizures and migraines, but not everyone who experiences hallucinations is mentally ill or has a chronic disease. Oliver Sacks, (recently deceased) is a famous neurologist, who has written extensively about the nature of hallucinations. He observed that many people have hallucinations in the form of seeing and hearing things that are not there. He estimated that approximately 10% of people experience hallucinations but are not mentally ill.The nature of your hallucinations and how to treat them should be thoroughly addressed with your mental health providers and your general practitioner. Medication or therapeutic techniques can decrease their distressing effect upon your life. You might also consider reading the book Hallucinations by Oliver Sacks. Another book that may be of interest to you is called The Voices Within: The History & Science of How We Talk To Ourselves by Charles Fernyhough. I wish you the best of luck. Please take care.","Hello, I have recently started treatment for anxiety – SSRIs and CBT. During my visits to my GP and my therapist I have mentioned about what is happening in my head which my GP seems to think is voices while my therapist see as negative automatic thoughts.",1686
" (We don’t usually edit letters but for your privacy, I have done so.) What a terrible pile up of tragedies and problems! It is no wonder you are suffering. It is no wonder that you are at times swamped with emotions. You do need support and help — far more than I can offer in an advice column.All I can do is affirm that you have every reason to be sad and angry and confused. I can also encourage you to go slow with the relationship with a married man who is wracked with guilt and who has a diagnosis of bi-polar. Not all harbors in a storm are ultimately safe. However much you two may care for each other and comfort each other, neither of you is in any shape to make a commitment to another person. You both have serious issues that deserve your attention. Left untreated, those issues will make any relationship extremely difficult over the long run.I strongly urge you to explore options for getting help. I wrote this article a number of years ago for people like yourself who don’t have immediate access to therapy: https://psychcentral.com/lib/when-you-cant-afford-psychotherapy/.Please take care of yourself. You made a good start by writing to us here at PsychCentral. Now, please, reach out and get the help you need and deserve.I wish you well. ","From the U.S.: All of this happened in the past ten months: My mother was diagnosed with Alzheimers and cancer.. . my mom and stepfather were forced into assisted living. at my moms’ I found evidence I possibly had a different birth father, my mom had an affair with a married man when I was little. My mother said he was NOT my father. He recently died.",1687
" Your asking for help is encouraging because it shows that you care about what happens to you and perhaps to other people. Anger may be the only emotion that you currently feel, but your letter indicates that you may be capable of experiencing other types of emotions. It’s a hopeful sign.The fact that you are worried about being punished is also a good thing. It could prevent you from engaging in crimes. You are very correct to worry about going to prison, especially if you are having trouble in controlling your behavior. Prison is far worse than almost anyone would imagine. You do not want to experience, the frightening reality of incarceration.If you can’t control your urges, then you have no other choice than to seek professional help. As you have noted, not addressing this problem could lead to criminal acts and imprisonment. If you want to avoid this outcome, then you must do whatever is necessary to prevent it from happening. Ask your parents for their assistance or speak to your school guidance counselor about consulting a mental professional. Treatment is the solution to your problem. Please take care.","I fake all emotions and interactions, and I hate sex: I’ve been tossed around to several therapists and psychologists, because at an early age I loved to kill things; bugs, frogs, birds, etc. I don’t know what it is that’s caused me to be that way, but whatever. All I know is that whenever any random emotion has struck me, I’m quick to thinking about killing. It used to be wanting to kill small animals with my step-dad’s old hunting knife, but now it’s progressed to wanting to kill people. Nobody really in specific, unless there’s a person who has directly given me hell. Many people fake emotion every day, but I feel like I fake them all, except for anger. I want to use knives and sharp objects to sever a person’s aorta, and I want to watch the lights in their eyes go out; I don’t want it for the blood, I don’t want it for any reason other than to kill. I can’t explain it. The only thing close to this that I’ve been able to find in my studies is sociopathy or sadism. Neither of these seem to fit me though, because both conditions usually include having some kind of sexual need. Sociopaths typically excessively masturbate, whereas I never have. Sadists usually yearn for a masochistic sexual partner to torture and humiliate, whereas I’ve never wanted it. Sex has always been a thing that I find disgusting, messy, and unnecessary for recreation. I have a girlfriend who wants sex, and I’ve always just had to act like I want it too, but honestly, I’d rather be doing anything else than having sex. I seem to fit the profile of a sociopath because of the whole lacking empathy thing, but I don’t rejoice (nor mourn) in the act of manipulating people for any reason. I don’t want to know what’s wrong so that I can get help – I just don’t want to end up having to go to prison. I want to know how to control my urges before they control me. If that takes getting help, so be it, but if there’s any other way, I’d love to know. Thank you.",1688
"  If you could stop your “bad habits” you would have done so long ago. I can’t diagnose you on the basis of a letter, of course. But I can tell you that from what you wrote, you do have serious problems that 1) need to be addressed if you are to have a satisfying and happy life and 2) that are treatable.Although your behaviors meet the criteria for several different diagnoses, I do wonder if maybe you are on the high functioning end of the autism spectrum (either instead or or in addition to whatever other diagnoses have been assigned to you). If that has not be explored, please do get an evaluation.I think you already know that therapy would be helpful. I also encourage you to get involved with group, as well as individual, treatment. Group therapy provides a safe place to talk about your issues with others and to get feedback from other members of the group about what you do that distances you from others and how to correct that. A good group becomes an important support while the members learn more about themselves in interaction with others and rehearse new behaviors.Please take care of yourself. Stop obsessing about all that is “wrong” with you and get the treatment you need to discover and bring out all that is “right.” As a starting point, you might find it reassuring to take the Strengths assessment at http://www.viacharacter.org/www/Character-Strengths-Survey. Once you know your personal character strengths, you can build on them to improve your outlook and your life.I wish you well. ","From a teen in South Africa: So from what other people have told me, I’m not exactly considered normal. People often seem to find my behaviour odd. I’m very introverted. I spend days at a time sitting in my room without anyone else, and I’ve had full blown conversations with myself for hours on end while doing so. I tend to talk to myself very often, even in public without realising it. Usually I recite the numbers “1 2 9 10 5 9” if I realise that I’m talking to myself in public because I start to panic and think people are going to think I’m strange even when no one has noticed. It’s something that’s been happening for a long time now where i will suddenly just say something out loud and realise that I said it and a sudden panic comes over me so I recite those numbers to calm myself down, sometimes I add other random numbers between 1 and 10 as well.",1689
" I would not consider your question to be a “wacky…rant.” It is an expression of your feelings. It’s healthy to write when you are stressed. In fact, you should do it more often. When strong emotions arise write about them. Research shows that journaling is a healthy outlet for expressing strong emotions. It can also help to clarify your thinking, come to resolutions and move you past your problems. It’s a psychologically clarifying exercise that can provide a great deal of emotional relief.Your feelings seem perfectly understandable given your family environment. You are developing your own ideas about yourself and the world, which are in conflict with those of your parents. That conflict is causing problems for you and in your emotional life. These types of conflicts are fairly normal during adolescence. In two years, you will be an adult and can live independently, should you choose to do so.In the meantime, speak to the school guidance counselor or the school psychologist about these issues. Counseling could help you tremendously. You might consider showing this letter to your parents. They may be more open than you realize to your seeking mental health treatment. Maybe not, but it is something to consider.Other ideas include finding alternative outlets for your strong emotions. These can include, exercise, yoga, meditation, volunteering or reading self-help or anger management workbooks. Some of my favorite workbooks are written by David Burns and there are many others. They can be purchased through Amazon or you might find them at your local library.I want to be clear about the fact that mental health treatment would provide you with the greatest level of benefit but if it is not an option for you, some of the aforementioned ideas may be of assistance.Finally, if you feel like you might hurt yourself or someone else, then it’s imperative that you call emergency services or go to the hospital. The staff can keep you safe and protect you from hurting yourself or someone else. Please take care.","Basically, I’ve come in search of help with anger management. I was raised with very strict, religious, over protective parents who constantly had violent arguments, taught me to shut down my emotions and to not express my feelings (at least not in healthy ways), taught me that the world is a dangerous, untrustworthy place, and that I cannot trust anyone. As a result, I have grown up to be very nervous, very shy, unable to trust others, unable to express love easily, unable to deal with negative thoughts or emotions in a productive fashion, afraid to be independent in the world, and constantly feel like I can’t make something successful of myself. I wasn’t always like this. I remember in my early childhood that I loved to socialize, explore the world, learn, I had dreams that I honestly thought I could reach. I was more positive, hopeful, and optimistic. Now, I feel as though all I ever feel is anger. I’m so restless. I want to do something, have fun, grow up , stop being so shy, and improve as a person, but, I don’t know where to start. And with my parents not permitting me to go out on my own, or even express my feelings to them without them thinking I’m possessed or something, I feel trapped.I’m not a bad kid. I’m sure of that. I mess up here and there but I really try. Ask anyone. I’ve been obedient, respectful, polite, patient for as long as I can remember, but, lately, only with my parents, have I been lashing out at. Of course, not physically, but I have been getting more violent recently. I’ve gotten into the habit of breaking things around me when I’m angry and just screaming and crying. It’s scaring me. I don’t want to hurt anyone. My parents have done so much for me, and I know they have tried their best at raising me, but, I can’t help but blame them for how I turned out and feel angry at them. Maybe it’s my fault and I’m too ashamed to accept that so I take it out on them? I just need guidance. I need a plan, a place to start. I hate this feeling of cluelessness as it makes me feel breathless and trapped. Thank you for listening to his wacky 16 year old rant.",1690
" Generalized anxiety means exactly that: The anxiety is generally there much of the time about many, many things. However, I can’t tell whether you have the normal anxieties of every person who is emerging into adulthood or whether you have a “disorder.” It’s important to make the distinction. What you need to do to help yourself depends on accurately understanding the problem.Many many teens have the anxieties and concerns you listed. Many many teens are easily embarrassed (especially by family members), are uneasy socially and very concerned about how to fit in. If your worries are within the range of normal, the “treatment” is to watch and learn from others, to take your time when you are nervous, and to remember that this is all the sometimes uncomfortable part of growing up.A disorder is more pervasive. People with GAD (Generalized Anxiety Disorder) worry excessively a good deal of the time. It interferes with their functioning in their schoolwork, jobs, and relationships. They are often irritable and depressed and sometimes are even suicidal. There are often physical symptoms as well, such as nausea, diarrhea or irritable bowel syndrome, headaches, sweating, maybe sleep disturbance.If that is the case with you, you should see a professional mental health counselor for an evaluation. If diagnosed with GAD, treatment will include talk therapy to teach you skills for managing your anxiety and for becoming more self-confident. Sometimes a medication is also recommended.I wish you well. ","From a teen in the U.S.: So here is my situation: I have anxiety for quite a few situations. It is not ONLY social situations or for a specific phobia. I have the typical anxiety symptoms (though mild in comparison to those who throw up, have panic attacks, etc) when I am a) thinking about an impending social event/school event/ceremony where I will have to interact with someone other than my two best friends and my family/being there without them/arriving without them and being uncertain about little things such as where to sit b) on my way to those events c) during these events (unless I was super overreacting and I actually have fun) d) when I think about storms e) at doctors offices, esp before shots or blood pressure tests. I had my first and only panic attack when I was told I would be getting a shot I had not mentally prepared for f) when I feel like a nuisance for employees at restaurants (my family is being slow, etc) g) when I have to speak in front of people, any context h) when I think about impending overwhelming things and what is due, like homework and fitting in work and applying for colleges (that one is pretty normal I think) i) when my dad is late picking me up from an event or something, and it has gotten worse since I turned 16 because everyone around me leaves on their own terms. I sometimes just worry about being pitied or thought about in any sense, as I stick out as waiting, and sometimes I worry that my dad has gotten into an accident or something and I get really anxious j) driving. everything about it. I cant. k) the thought of making new friends/dating",1691
 It is time to become more self-sufficient by getting a job and planning on moving out. At 20 years old you need to have some plans and a direction for your life that doesn’t involve your highly dysfunctional family. I would also highly recommend some therapy as you sort through your options and pull these plans together.It might take you a while — even a year or so — but you need to have a plan to become more independent.,"I don’t know what’s wrong with me. My parents are divorced. I moved to this country. My brother moved back to England to be with my dad. My mum and step-dad were alcoholics and my step-brothers were mean. I think I might have abandonment PTSD, but I have no abandonment issues. I was technically abused but it was neglect mostly and doesn’t feel worthy of being called abuse. My mother is kind of a child, I’ve spent most of my life since I was 10 or 13 looking after her, especially after her second divorce. In which I sometimes had to put her to bed. I was often a mediator between her and my stepfather. The pair cried to me rather often. When they divorced, my step dad told me he’d still be here for me if I needed him, but I recently tried to reconnect with him to no avail. I understand that “I’m here for you” is never a sentence for the recipient but rather the speaker, to make them feel good. I understand that people are self-centered and small-minded. I had a history of instigating chaos by constantly breaking the law, trespassing, stealing, vandalism. I’m well behaved now, but I still have memories and old pains of my youth. All of the times people said they’d be there for me. My attempted suicide. My mother’s attempted suicide. The time when I was dragged up the stairs by my hair. The rumors in middle school that lead to people fearing me for no reason, and the times that I let the rumors change me, and I hurt people. The boyfriend who gunned me down with a bb gun, almost blinding me, and on a separate occasion (after breaking up) the time that he threw a chair at me. My best friend who left me because I’m “childish, spend too much time with my boyfriend, and disrespect my mother”. My mother who actually assaulted my boyfriend once. Man, she would get so out of her face sometimes that she… A couple of times back at my stepdads, she would barge into my room (she did that a lot) and throw suitcases on the floor, demanding that I pack so that we’d leave, but I, a 13-year-old, knew better than to get in the car with a drunk. On many occasions, I barricaded myself in my room, hid in my closet, or on the roof. I sometimes went without food because my step brothers ate everything. I had my own secret pantry of snacks and I was still underweight. I don’t know, I’m just throwing out all the information I think could use some help.",1692
" You mentioned that when he is pushed he is resistant but “… with patience and when he is not being pushed…” he is easier going. Perhaps that is your answer. Being patient with him seems to work. The more patient you and your family are with him the easier it will be to care for him.I would encourage you to consult with specialists who treat elderly populations. This includes psychiatrists and other medical and mental health professionals. You can consult them on your own or with yourfather-in-law (if he’s willing).Because part of the problem is that your father-in-law behaves differently in front of certain people, you might consider videotaping his behavior. You should also keep a written record of the behavior that concerns you. Having this type of information could help the evaluators identify what may be wrong with him.If it continues to be difficult to care for him, you might need extra help. There are many services he may be eligible for, including home healthcare and other related nursing services. Check with the insurance company or his primary care doctor to determine if home healthcare could assist you and your family in caring for yourfather-in-law . I hope this helps. Please take care.","For the past 6 years my father-in-law has been suffering from some kind of mental illness. He is now 90 years old and physically reasonably healthy for his age. His problem is that he seems to completely believe that he can’t do anything and that he is on the way out. Anything that we do to help him he is convinced is killing him. He will do nothing for himself and needs to be strongly encouraged to the point of pushing to do anything. By anything I mean eating, drinking, getting up, washing, going to the toilet, standing-up Etc. He will physically try to resist, shouts at the top of his voice “I can’t, I can’t”, makes all sort of totally illogical excuses etc. He won’t feed himself but although he shouts and says it’s killing him, he will open his mouth and take the food. He cannot make any decisions, doesn’t want to engage in conversation or talk to people. However with patience and when he is not being pushed to do anything he will answer questions, he will get involved in doing the crossword and will show some interest in the newspaper and TV. At these times it is clear that he has no loss of memory (over any time period) and is fully aware of what is going on. He is as good as anyone at the crossword and will make sensible comments about sport, current affairs etc. Even though he won’t get up himself to go to the toilet, occasionally during the night he will. In the past he has been prescribed different anti-depressants but these just made him a zombie without any benefit. We have tried seeing a psychiatrist but he was not willing to open up and could thus not make any progress. We are pretty much resigned to the fact that he is not going to get any better however there is always the worry; is there anything else we could do. Despite much searching I can’t seem to find any similar cases or clear explanations. The local mental health teams and even a private psychiatrist have been very unhelpful either saying “classical depression” before prescribing drugs or saying that its “one of those things, at his age if it wasn’t this it would be something else” (and that was 6 years ago). Any explanation, suggestions would be most welcome.",1693
" As you pointed out, your question can’t be answered simply. It’s certainly possible there is a history of early abuse. It’s also possible that like many dads, your dad may be uncomfortable with your emergence as a sexual being. Many dads feel some attraction and pride in their kids at this stage, but their respect for the cultural taboos against acting on that attraction keeps everyone safe. Often the dads do some distancing during this time while their relationship with their kid transitions from dad-child to dad-young adult.Even if you are not “out” to your dad, he may sense that your attraction is to men. He may feel some attraction to you that shames and alarms him so he keeps his distance. You may be picking up on his fears so respond by doing the same. These feelings are normal. Good boundaries keep everyone safe.This is complicated stuff for many families. Therapy would likely help you answer your questions. I encourage you to give yourself some peace of mind by talking to a counselor.You shared that there are many other distressing issues in your family. I hope family members are open to getting some family treatment so everyone, as individuals and as family members, can have a happier future.I wish you well. ","From a teen in Ireland: My father, somewhat a former drunkard, beat my little brother and my older sister (and my mother) – but I strangely can’t recall him beating me. I am gay and I am quite certain my sister and I have developed BPD thanks to him, but that is not the problem. I don’t speak to my father, though we live under the same roof. He speaks more to my other siblings.",1694
" You have expressed three main cognitive errors that may be contributing to your distress. I will describe them below.The first cognitive error is that you should not be depressed because you have material wealth. The implication is that wealth should make you happy. Of course you should appreciate your good fortune and your blessings but wealth does not equal happiness. Study after study shows that to be true.There is no roadmap in life; for any of us. Many people feel lost. Each of us, rich or poor, has to find our own path. It’s easy to get off track and to become depressed, especially when lacking guidance and a strong mentor. Counseling could provide you with the necessary guidance and mentorship.Depression is often the result of a lack of purpose in one’s life. In order to be happy we have to find meaning in life. That’s an overly simplistic view of depression but without that key element, many people, no matter their socioeconomic status, feel empty, sad and alone. The good news is that depression is a highly treatable condition.The second cognitive error expressed in your question, is that everyone is in a relationship except for you. I believe that what you meant is that everyone else is happy except for you. That is a fallacy. People who are depressed often think that everyone is better off than they are. They are intimately familiar with their own pain and suffering but they do not perceive the pain and suffering of others. That’s largely because people don’t generally express their negative emotions in public or even to close friends. They think it will make them seem less likeable, less cool, and more needy. They suffer alone, in isolation, where there are no witnesses. Even though you can’t feel it or see it, many people are suffering. Life is challenging for most everyone.The third cognitive error is that you should be able to solve your own problems. You didn’t say that directly but you implied it when you wrote that you have tried to help yourself and it has not worked. The disappointment has led you to feel like you have failed. That is common thinking about mental health.People don’t believe that they should be able to treat their own physical health problems yet it’s common for them to think that they should be able to treat their own mental health problems. Mental health professionals undergo years of rigorous training to learn how to treat mental health problems. These are learned skills. You shouldn’t expect to be able to solve your own problems. No one should.When you know that something is wrong, you should ask for help. You could greatly benefit from counseling. Counseling is an effective treatment for depression and many other emotional problems. Medication might also be helpful. I urge you to ask your parents to assist you in seeking treatment. That would be the right thing to do. Please take care.","I don’t know where to begin. It seems stupid just to come here and write about what’s wrong with me. Or what I think is wrong with me. All my problems seem made up by myself. I ocassionally feel depressed, but I don’t deserve to be depressed. I have everything in my life to be happy: family, some friends, upper middle class upbringing, material things. I feel guilty and ungrateful.",1695
" This problem seems outside of your control. It does not seem as though you’re deliberately being defiant. I point that out because of the self-abusive tone of your letter. If a friend or a family member had this problem, would you be equally as harsh on them as you are being on yourself? It’s highly unlikely. You seem to be legitimately struggling with processing certain types of information. I understand your frustration but remember it’s not your fault.It’s possible that your brain processes verbal information differently than written information. This is not to suggest that something’s wrong with you per se but that perhaps you have an undiagnosed learning disability. It could explain why you have been struggling for years.One diagnostic possibility is an auditory processing disorder. Its symptoms include difficulty processing and remembering language-related tasks. There are other possibilities but an evaluation would be necessary to determine whether or not you have a learning disability.If you do have a learning disability that substantially limits a major life activity (i.e. learning, thinking, reading, concentrating and communicating), then you are entitled (by federal law) to reasonable accommodations from both your school and employer. You should consult the disabilities service office on campus. They can provide you with more information about how to seek help for this potential issue.You should also discuss your symptoms with your primary care physician who can provide you with the appropriate referrals. He or she might suggest undergoing a neuropsychological evaluation. This type of evaluation specifically assesses how your brain functions. Good luck. Please take care.","I never thought it was a issue until I hit a breaking point from my Internship meeting. I was told that I’m not processing things (as he pointed at his head) at that moment I felt like I was retarded. That’s where I began to see a pattern from my previous jobs and through life. I would make a lot of mistakes when I am being told to do something. I’m not nervous, or deaf. I can hear, but when people talk to me I block out/they seem like they mumble rather than talking so I block out. It is troublesome because I have to repeat people all the time, and when I do managers shout at me and I hold back my feelings until I finish my shift which have nightmares about. I feel like I’m slow when doing a task. However it does not makes sentence because I have good grades and do all my homework and yet I can’t do what is asked to be done. I came to the point were I had to confess to my employer and my school, that I have problem and don’t know what it is. All I know that I can’t understand messages or phone calls (Even in high volume) , can’t follow instructions, I try to concentrate what people are saying but the words cant process in my freaking brain which makes me mad and helpless at myself that I can’t do anything right, it is very had to multitask, I sturred/can’t talk right. Even my family notice something was wrong with me when they talk to me because I always do the opposite of what they say. I always thought if I try harder it will be better, but with me my mistakes remind the same. To be honest my mind works differently when people talk to me I mix words up or numbers. I always have to solve what people say if I forget/block out, which makes them repeat themselves, I always compare myself with other girls and be like why can’t I get it like her, you know. As for right now, I am taking notes and writing what people say so I won’t get mix up, but sometimes that doesn’t work so I have show to them what I wrote down “what I think they said.” I cry a lot because this a problem that stops me from maturing and succeeding in my career. I don’t know what is holding me back mentally because it’s effecting me physically. I’m scared because I might not going to find a good job to provide for my family. My school also wants to know what is wrong because they know I’m doing great in school learning medical billing, but they are getting my reviews on what I can’t do which is frustrating.",1696
 I very much appreciate that you understand that I can’t give you a diagnosis. I can’t. But I can tell you that everything you describe is within the scope of the anxiety disorders. The good news is that it is treatable.I suggest you follow through with your own good idea and find a therapist who specializes in anxiety and teens.You might also find it helpful to take a look at The Anxiety and Phobia Workbook by Edmund Bourne.I wish you well. ,"From a teen in the U.S.: So to begin, I’ve been diagnosed and recieved treatment for depression and an eating disorder, seen 2 therapists, and struggled with self-harm in the past 3 years. Lately I’ve noticed a few behaviors that are bit strange to me. Here’s a list of the behaviors that are concerning me: – I excessive clean my room – When I’m the only one home, I organize the pantry, clean and straighten up the countertops, and try to put everything in order – When I babysit, after the kids have gone to bed, I wipe down all the counter and table tops, straighten paperwork/books and put them in the upper corners of the table, straighten the TV remotes so they are perpendicular to the TV, and put all dishes in the sink – I used to bring all my horse equipment home every weekend to clean it (I don’t ride anymore so this isn’t happening anymore) – I regularly go through all my school work and try to organize it based on class and date – I’m picking at my skin a lot. I pick at my chapped lips for hours at a time, as well as ripping open the skin around my fingernails, and picking off all scabs multiple times – I have very limited personal relationships with people and struggle to make friends – I had 2 childhood friends that I kept for a long time (one for 8 years, one for 10 years) the 8 year friendship ended recently and I really don’t feel like I miss her – When my family goes out of town for long periods of time I don’t really miss them but when they call I tell them I miss them because I feel rude if I say that I don’t – I hardly spend time with my friend (the 10 year friendship I mentioned) I see her maybe once every couple months – I feel as though if I cut everyone out of my life I wouldn’t really miss anyone – I lie a lot and am extremely secretive",1697
"  Thank you for you detailed history and question. I admire the fact that you have been so resilient and continue to show such perseverance in finding answers. It seem these qualities have followed you in your journey and have served you well.From your history — along with the style and content of your questions — it sounds like you may want to find a therapist specializing in Cognitive Behavior Therapy (CBT). If your current therapist is trained in that, I would have a discussion about applying these tools to help with your thought process. If your therapist is not trained in these techniques, I would encourage you to stay with your therapist but to supplement the therapy by having a few sessions with a CBT therapist. There is also a terrific book, The Resilience Factor, that you will want to read.","Before getting to the issue, please allow me to give you a brief description about myself : My parents always told me that when i was young i was a “leader” that i’m the one that led the group of friends when we were playing or doing sports or any kind of activity. I remember being a very happy child. Also note that i had the tendency to steel things beginning at a very young age and kept doing so till i was 26.",1698
" I would advise against self-diagnosis. Internet mental health tests are good at helping people know if they should seek professional help, but they should not be used as diagnostic tools. I would agree that your symptoms are concerning. I would recommend being evaluated by a mental health professional. That would be the best way to determine if you have a mental health disorder.You mentioned hearing voices that give you a headache, but you didn’t describe the nature of the voices you hear. We all hear an internal voice. This voice is familiar and recognizable. When a person hears voices that are not familiar or recognizable, he or she might be experiencing the symptoms of a mental health disorder. Voices that are demeaning might also be a sign of a mental health disorder.It’s common to not remember one’s childhood. In such cases, it does not necessary mean that trauma was sustained. I would need to know more about the nature of your memory, or lack thereof, to determine if you are describing a symptom of DID or any other disorder.I would encourage you to speak to your parents about your concerns. Some teenagers are reluctant to speak to their parents because of their fear that they won’t be taken seriously. It’s an understandable concern; however, your parents may not have the reaction that you might fear. If you can’t talk to your parents, consult your school guidance counselor or another faculty member whom you trust. They can help you access mental health treatment. Counseling could be a tremendous help to you. Please take care.","I first started searching about DID when I was 12, because the voices I kept hearing were giving me a headache. I scored 92 on the sanity test for Dissociation, and have taken several other tests that confirmed that I may have DID. I cannot remember most of my childhood, and certainly can’t remember ever being physically nor sexually abused. My personality seems to change depending on who I’m around, and I feel as though I’m not quite ‘there’ at times. I have a lot of memory gaps as well, and there are a lot of students at my school who claim who know me, yet I don’t remember ever speaking to them.",1699
" You’ve only known each other for a little over a year. This is an important moment in your relationship. The two of you are talking about religion, but you are also working on how you are going to manage it when you have important differences of opinion. The style of your conversation is as important as the content. It will establish how you will work out other important problems in the future.I hope you can talk about your values, opinions and needs in a way that is both true to yourselves and respectful of each other. I hope you can look at a variety of solutions before settling on one. I hope neither one of you “gives in” but resents it. I hope neither of you gets stuck in thinking it has to be your way or no way at all. I hope you can both be open to entirely new ways to think about your religious beliefs and what kind of church you need to feel supported in them.Some couples in mixed marriages decide on the church of one of the members and commit to that church as their joint church. Some couples alternate Sundays, going to each other’s church in order to deepen their understanding of each other. Some people find it enriches them both when they go to different churches and bring home new information and new friends for the couple. Some couples find an entirely new church they can both agree is a good fit.There is no “right” answer except this: You need to work at this until you find something that feels “right” for you both.I wish you well. ","From S. Africa: We have been in a relationship for a few months before my boyfriend ask me to marry him. I said yes. So I’m engaged for 10 months. I love him very much. We have a big religion issue now — he wants me to leave my church and go to his church but I dont want to do it, now we need come to a conclusion if we’re gonna leave each other because the church decisions because we need to be as one attending to the same church. Can you please give me advice on how or what’s best?",1700
" You know what is wrong. You have had the same diagnosis for 25 years, and you have been granted weekly help to help you. Unfortunately, no one can get you the support you need unless you participate. You need support to even get your support.For that reason, I suggest you contact the ME Association in the UK. It may be that some coaching and encouragement from people who fully understand your situation will help motivate you to do what is required to get back into life to the extent you are able. Take a look at their website: http://www.meassociation.org.uk/about/what-is-mecfs/. I encourage you to call the hotline that is available: 0844 576 5326.It’s promising that you found the energy to write to us here at PsychCentral. I hope you will again dig deep into yourself to find the energy to give the hotline a call.I wish you well. ",From the UK: I have had Myalgic Encephalopathy (ME) for 25 years and have experienced several traumas including domestic abuse that have affected me badly. I have retreated into a complete state of hiding from life and avoiding all activity including looking after myself. I havent had a bath for 2 months.,1701
" At 27 it is time for you to move on and realize your mother’s anger, frustration, disappointment and aggravation have a big part to play in your growth and development. It is time to start making a plan to get out of her house. It might take you some time to figure out where to go and what to do, but if your conditions stay the same it is not likely your reactions will change. It is time to leave.Wishing you patience and peace, ","I have trouble controlling what I speak when im angry. My mother hurts me with her words and I hurt her right back. I really don’t mean to do that it just happens. I have trouble controlling myself from breaking crockery when im angry. I cant communicate very effectively while talking. Breaking crockery usually calms me down. I have dug my nails into my mother’s arm once because she wouldn’t stop accusing me. Never again. It scares me how vicious I was. After an outburst I cry a lot. But after that I have trouble even remembering what made me so angry. Or what words exactly triggered it. I have a severe headache and I sleep it off. Sometimes I have trouble falling asleep too. I have frequent mood swings. I happy one moment and I could start crying the next. Even if it’s a commercial in TV I may start crying. I get very sad. I hardly talk to people. It irritates me if someone tries to talk to me when im in this mood. Other people’s habits annoy me. Any kind of sound irritates me when im in this mood. I cannot stand people who are fake or selfish or people who lie n deceive or those who show off. So I avoid such company. I have very limited friends. Im very selective. Im very cynical. I either believe people too much or don’t believe them at all. Me being so critical makes most of my relationships temporary. When I get angry, I have headaches, nausea, my eyes hurt n also I have occasionally breathlessness. My parents stayed together because of me and usually my mother blames me for all of her problems. I feel very guilty. N hurt. I have been trying to please them all my life. But nothing ever makes them happy. Im normally quite content in my own bubble… talking to myself, talking to imaginary friends… I am used to staying by myself..i take up hobbies to busy myself and never get bored. I don’t socialize much because my parents wont let me… but I do love making friends. I really don’t know how to handle myself. I don’t like this side of mine. I don’t wish to hurt anybody with my words but I end up doing the same. Please help. (From India)",1702
